0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.500000000000000000e+01,8.000000000000000000e+00
2.000000000000000000e+00,1.150000000000000000e+02,8.000000000000000000e+00
3.000000000000000000e+00,7.900000000000000000e+01,8.000000000000000000e+00
4.000000000000000000e+00,7.700000000000000000e+01,8.000000000000000000e+00
5.000000000000000000e+00,1.210000000000000000e+02,8.000000000000000000e+00
6.000000000000000000e+00,1.350000000000000000e+02,8.000000000000000000e+00
7.000000000000000000e+00,8.700000000000000000e+01,8.000000000000000000e+00
8.000000000000000000e+00,1.160000000000000000e+02,8.000000000000000000e+00
9.000000000000000000e+00,1.130000000000000000e+02,8.000000000000000000e+00
1.000000000000000000e+01,1.420000000000000000e+02,8.000000000000000000e+00
